text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
"Soooo S2 is sort of like this poor Elmo…crap clap Sidney no Sidney - they will never know the difference as long as we give them HoTTiEs 
Yeah it should’ve been #SidlotteForever &amp; Crapinton is what we got https://t.co/O6z3d3vUmi",2022-08-01 23:12:37.039877,1554144117717860352,2022-08-01 16:36:46+00:00,5,0,13,8,,,Mimithe20536023,226,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@RuralRidesOnly @nytimes He just skinfolk. 

Just like broke white Americans are skinfolk to the rich that exploit them too. 

We diverge by race, but not by class. But when have the rich covered poor people’s ass?

https://t.co/9G5mPLOcKD",2022-08-01 23:12:37.039877,1554088579541999617,2022-08-01 12:56:05+00:00,0,0,0,0,"Alsip, IL",9fdc3d1edf51a0a0,SD3rd,164,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"1x07
—Okay… Jean/Diane is down reaaaally BAD 😳 The poor woman daydreams about kissing Sidney and everything..! Damn.. this fantasy scene was.. 🌹 #gypsy #gypsynetflix https://t.co/lxITOT3ISl",2022-08-01 23:12:37.039877,1553892811120033795,2022-07-31 23:58:10+00:00,1,0,0,0,,,onelazybisexual,252,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@JoJoFromJerz @jonstewart I thought the same immediately!  First the batshit crazy cat lady Sidney Powell, not this asshat.  Poor Diet DP!",2022-08-01 23:12:37.039877,1553868294532337666,2022-07-31 22:20:45+00:00,0,0,0,0,,,BrentCubfan,674,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@OldPir8 @Desertrat_61 @rebekahkfreitas @BrigittePowel15 @laurenboebert If there was, his team would have argued that in court. 60 cases. The only one who DID was Sidney Powell, and she did just a piss poor job presenting her argument that the judge ordered her to retake law classes. You can read that transcript too. All this info is really available",2022-08-01 23:12:37.039877,1553411792465846272,2022-07-30 16:06:46+00:00,2,0,1,0,,,jess562,60,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
Sidney Crosby just caught Alexander Ovechkin doing drugs with Tyson Barrie. He joined in.,2022-08-01 23:12:37.039877,1553367568181710848,2022-07-30 13:11:03+00:00,0,0,0,0,,,nhlshitpost,2441,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"City Renames Trutch Street to Su'it Street, Lekwungen translation for “Truth” - City of Victoria https://t.co/FSQe3yHh2z",2022-08-01 23:12:37.039877,1553279630630473729,2022-07-30 07:21:37+00:00,0,0,0,0,,,lorenapike,477,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@carolinetudor5 Poor Sidney! Scruff sorries hims skin beings mean!,2022-08-01 23:12:37.039877,1553180939563307009,2022-07-30 00:49:27+00:00,1,0,1,0,,,scruffkit,22408,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"A Sidney man faces drug charges after Kearney Police found a large number of drugs in his possession during a traffic stop Thursday.
https://t.co/c3k0kd7nwW",2022-08-01 23:12:37.039877,1553123448100110337,2022-07-29 21:01:00+00:00,0,0,3,1,,,NTVNEWS,35695,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"In the meantime, the rest of you should shelter in place while security does their job and Joan and I look over Sidney's file to figure out how best to subdue him.",2022-08-01 23:12:37.039877,1552911418885677057,2022-07-29 06:58:28+00:00,0,0,0,0,,,agentgreenbot,5,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
sidney must be poor cause i could never let someone make a movie off my tragedies.,2022-08-01 23:12:37.039877,1552472572981288961,2022-07-28 01:54:39+00:00,1,0,0,0,,,magdaIenism,297,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Fellowship Baptist Church of Sidney, MT, has voted to remove Jordan Hall from membership in poor standing due to a failure to demonstrate repentance for sins that he had committed against his family, his church, and his God. https://t.co/1hgxjnyQbB",2022-08-01 23:12:37.039877,1552087723460239362,2022-07-27 00:25:24+00:00,0,0,2,0,,,JulesDiner,1438,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@MsModernity @ManicZebra I was never known for remembering anything 😭😭I'm so intimidated by Karl I forgot Sidney Faraday.  Ah, poor Tim I apologize.  Clearly, we need 1,743% more supernatural Donuts.",2022-08-01 23:12:37.039877,1552015209484673025,2022-07-26 19:37:15+00:00,0,0,3,0,,,LMBaphomet,414,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
@ScreamWithRCS Scream 6?! No stop! Or kill Sidney. Poor Wes is doing backflips in his grave.,2022-08-01 23:12:37.039877,1551850742872387584,2022-07-26 08:43:43+00:00,0,0,0,1,,,AEnniComposer,27,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Thank you @TwoRiversCider for hosting a community listening session for the Hollywood Park neighborhood this evening!

We talked about public spaces, bike lanes, housing and more. It was great learning from neighbors and working together 💪 https://t.co/9U1tbQUthr",2022-08-01 23:12:39.540196,1554331165388984320,2022-08-02 05:00:02+00:00,0,0,3,1,Two Rivers Cider Company,07d9ecb87f487000,caity4council,460,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
Sidney Sheldon wrote the best thrillers and crime-based books idc https://t.co/RzUf58N95a ur unpopular opinion abt a book / a character / an author / a ship?,2022-08-01 23:12:39.620519,1554242594909061121,2022-08-01 23:08:05+00:00,0,0,0,0,,,Toria_daLazy,958,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@DentLizzy Podcast: Dr Death (if you like true crime and grizzle)

Audiobook: Hollywood Park by Mikel Jollett (if you enjoy true life cult stuff)

Granted, both niche, but both hookworthy",2022-08-01 23:12:39.620519,1554206189914832896,2022-08-01 20:43:26+00:00,1,0,0,0,,,C_T_S,23171,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
