text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,user_location,num_followers,search_keywords,search_neighbourhood
"The Regent of Jayawijaya Regency, Jhon Richard Banua, Highlands Papua Province attended the Christmas Celebration and Ordination of the People at the Gospel Tent Church or Kingmi in Papua, the Hitigima Class office.
#KKBPapuaSangatKejam https://t.co/hGhMGEAUpk",2022-12-28 20:21:04.110088,1607695719582031872,2022-12-27 11:11:43+00:00,0,0,0,0,,,amalhasanah1,,0,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Much of Victoria, Saanich &amp; @crd_bc #cycling lanes &amp; sidewalks are still unsafe‼️ #BCSnow #BCStorm ❄️Next to @saanich hall, disabled @BC_Housing tenants are isolated. #CabinFever #FoodSecurity #bcpoli #MentalHealth #Disability #accessibility #yyj 📹 video soon come 📹 https://t.co/7gwPa5GG55 Victoria ain't the only #yyjpoli disrespecting the #disabled &amp; #cycling ...both awarded lower priority than people &amp; planet killing motorist's cars.@saanich ""not equipped to clear snow from any of the protected bike lanes"" 🤔""Cyclists are to use caution"" 🤔...and the ♿️ use? https://t.co/QKOSEjN6AI https://t.co/8rPn94NNld",2022-12-28 20:21:04.231337,1607623792838479872,2022-12-27 06:25:55+00:00,0,0,1,1,"Saanich, British Columbia",52bc3157f597168a,photowarrior,"Victoria, BC",644,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Strata condominiums in #Saanich are eligible for EV charging incentives!

Saanich offers financial incentives on top of what the Province provides to help buildings become EV Ready.

Hear from residents who have benefitted in the 📽️ 👇

#yyj #Victoria #Saanich #EV https://t.co/DwYtSgLfcD",2022-12-28 20:21:04.231438,1607481447694082053,2022-12-26 21:00:17+00:00,1,0,1,0,,,saanich,"Saanich, British Columbia",7008,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
Seeking help to drive a packaged dry tent from Mayfair Mall area to Vic West Park/Save on Foods please #yyj  236 638-5058,2022-12-28 20:21:04.231500,1606115396746346496,2022-12-23 02:32:05+00:00,1,0,1,0,,,SeeSpringVic,"Victoria, British Columbia",618,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
Drove all over the city today and out past Colwood. It appears there has been minimal snow clearing of arterials by all munis but especially Victoria and Saanich. What I also see is the unintended consequences of lane reductions 1/2 @CityOfVictoria @saanich,2022-12-28 20:21:04.231532,1606090062340423682,2022-12-23 00:51:25+00:00,3,0,7,0,,,GordonRjag,"British Columbia, Canada",268,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Inauguration of the new building for the Class Office of the Indonesian Gospel Tent (Kingmi) in Tangma District, Yahukimo Regency, Papua Highlands Province👍
#WestPapuan
https://t.co/hrUzxDA58Q",2022-12-28 20:21:04.231567,1605876846297460737,2022-12-22 10:44:10+00:00,13,0,5,0,,,bn_1c,,396,"(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aboriginal coalition to end homelessness OR homelessness services association of bc OR john howard society of victoria OR first metropolitan united church OR john howard society OR city of colwood OR restorative justice victoria OR victoria ready OR bc housing OR coordinated access ""and"" assessment OR victoria sexual assault centre OR tent OR thief) lang:en -is:retweet",900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Chihuahua state police officers, after being shot at by a heavily armed group, killed two men in the Tarahumara highlands and seized three long guns and two vehicles with a theft report.",2022-12-28 20:21:06.984485,1608237129326526464,2022-12-28 23:03:05+00:00,1,0,3,0,,,gchahal,"Hong Kong | Bay Area, USA",516304,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aceh OR our place society OR umbrella society OR greater yyj politics OR the victoria real estate board OR destination greater victoria visitor center OR rotary club of victoria OR victoria sexual assault centre OR cool aid OR reaching home OR #povertypimps OR addict/addicted OR theft) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
Good morning from Sitkum Terrace! Sitkum provides 75 affordable rental homes for seniors in the Vic West neighborhood of Victoria. https://t.co/wj7fkAyC6P,2022-12-28 20:21:09.786098,1608131516353093633,2022-12-28 16:03:25+00:00,0,0,1,0,,,DominiqueBandet,,92,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
Good morning from Sitkum Terrace! Sitkum provides 75 affordable rental homes for seniors in the Vic West neighborhood of Victoria. https://t.co/O9GlhywqnS,2022-12-28 20:21:09.786209,1608130786674237441,2022-12-28 16:00:31+00:00,0,0,5,0,,,yyj_housing,"Victoria, British Columbia",1132,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"Saanich is not immune to these hardships. Many of our residents struggle to find affordable/secure housing, have to choose between necessities like food and prescriptions, are facing mental health issues, or otherwise struggling for access to the quality of life that many enjoy.",2022-12-28 20:21:09.786244,1607125045322846208,2022-12-25 21:24:04+00:00,1,0,2,0,,,zacdevries,"Saanich, British Columbia",1763,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
❄️ Wishing you a very happy holiday season from the WorkBC Centre Westshore and Sooke team ❄️ https://t.co/huunzQWR34,2022-12-28 20:21:09.786271,1606711423610011648,2022-12-24 18:00:29+00:00,0,0,1,0,,,WorkBCWestshore,"Victoria, British Columbia",188,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"⚠️OFFICE CLOSURE ANNOUNCEMENT ⚠️
Due to inclement weather, WorkBC Centre Westshore and Sooke will be closed today, Dec 23rd, at 12pm. https://t.co/W0m9KwdWI8",2022-12-28 20:21:09.786297,1606378411747905554,2022-12-23 19:57:13+00:00,0,0,0,0,,,gulf_news,United Arab Emirates,1465661,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"#Dubai Destinations: Here is the easiest and most affordable way to travel from Dubai to Hatta
How you can visit ‘the highlands of Dubai’ on new ‘Hatta Express Bus
#Travel #UAE 
https://t.co/Ys3g0O8Q52",2022-12-28 20:21:09.786324,1606289801979875333,2022-12-23 14:05:06+00:00,0,0,6,2,,,PerthScot,"Perth, Scotland",426,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
"@coppergrease @magnusllewellin Not sure what the connection is between large landowners in the Highlands and housing shortages in the Central Belt. Those landowners want people to move to their properties, but people don't want to leave the central belt. Lack of affordable housing is a ScotGov created problem",2022-12-28 20:21:09.786351,1606003140343566348,2022-12-22 19:06:01+00:00,0,0,0,0,,,ottawaspends,"Ottawa, Ontario, Canada",4190,(900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west) (aids vancouver island OR pacifica housing OR victoria native friendship centre OR habitat for humanity victoria OR vreb OR district of north saanich OR salt spring exchange OR workbc centre - victoria OR foundry victoria OR complex care OR encampment OR affordable) lang:en -is:retweet,900-block pandora avenue OR esquimalt OR highlands OR metchosin OR pacheedaht OR saanich OR sooke OR vic west
