text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
@amorphiliac rich coming from some poor ass bitch from fucking north park,2022-08-15 11:05:29.157107,1558992972108234752,2022-08-15 01:44:23+00:00,1,0,0,0,,,cxffeetweeker,124,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@Dean_Kastel @yeongno3 North Korea is poor because it is blocked by the United States, not because it is a dictatorship.

Mind you, South Korea's economic boom began under the dictatorship of Park Chung-hee.",2022-08-15 11:05:29.157107,1558399937574207488,2022-08-13 10:27:53+00:00,1,0,0,0,,,EileenM71244655,6,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@rosemeyer1939 Access is poor, you need local knowledge to know which entrances/exits are bike friendly. North of Walton Hall Park you are running the gauntlet of broken glass. It’s only suitable in daylight. Surface is pretty decent in the main, volunteers do a great job cutting back plants.",2022-08-15 11:05:29.157107,1558165214591389696,2022-08-12 18:55:11+00:00,3,0,1,0,,,loucycles,151,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@Doz67622445 @samdavtur @spatialanalysis Perhaps evidence of industrial farming that's lead to poor quality soil in those areas of Britain. National Parks all look green, apart from the South Downs,but some don't count that one as a proper National Park as in the North the South Downs is just what outside looks like. ;)",2022-08-15 11:05:29.158109,1558018506662318080,2022-08-12 09:12:13+00:00,0,0,2,0,,,johnny_boy_uk,23,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
@Gatwick_Airport long stay north car park. Full up areas driving round in circles waiting 20 mins for a bus.  Poor service and poor start!  Very unhelpful staff on phone!,2022-08-15 11:05:29.158109,1557192740785496064,2022-08-10 02:30:55+00:00,0,0,0,0,,,JamesMunden,379,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"this is insane. poor people are banished from over 1/4 of the area between hollywood and echo park. https://t.co/xBjVyFEEh5 When this passes, it will be illegal for victims of our housing crisis to exist in 28% of CD13. Meanwhile, the City only has enough shelter beds for 40% of our unhoused neighbors, and homelessness has DOUBLED since my opponent has been in City Hall. https://t.co/vttlOrsRHM",2022-08-15 11:05:29.254106,1557040499407536128,2022-08-09 16:25:58+00:00,1,0,20,4,,,ShutUpAndrosky,24178,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"xr open call yesterday evening was good. such amazing people keeping things positive. i definitely want to be involved. london hyde park occupation 9/9 for a few days, i can camp. locally i'm in clevedon north somerset if there's anyone local please get in touch. /Mark",2022-08-15 11:05:31.852263,1559153108491669507,2022-08-15 12:20:43+00:00,0,0,0,0,,,MarkGibbard8,1,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@Thomas51100262 @PhakamaMthwaka1 @TalithaNdebele @aubtery @zenzele Mat North has hwange national park, vic falls, in nkayi there is pride of Africa exports wch exports the best tick timber in 🇿🇼, yet the pple live there in abject poverty. Most schools only have one building kids learn under trees 42 years into independence.",2022-08-15 11:05:31.852263,1559036007328190465,2022-08-15 04:35:24+00:00,1,0,0,0,,,libo_HO,363,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"I’m doing great north run this year first time in over 14  years, are you allowed to camp in bent park still and is there free bus to the start line from South Shields",2022-08-15 11:05:31.852263,1559023932442828800,2022-08-15 03:47:25+00:00,0,0,0,0,,,Nichola87644818,0,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@adamugarba This man here @adamugarba has no brains. You don't see the insecurity in the North, poverty, out of school children? Yet Buhari is the president. You just spew trash, so you feel comfortable deceiving the gullible! Shame on you with your motor park sense! Shiririta kawai, shirme",2022-08-15 11:05:31.852263,1558926361628409856,2022-08-14 21:19:42+00:00,0,0,0,0,,,i_ayegba,505,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
