text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
"8/ And finally, right, I don’t live in Royal Bay, in Colwood Corner or on Triangle Mountain. But buddy, I have a vested interest. I walk all corners of our city. I hear opinions from every nook and cranny. We are elected to represent all areas not just our own hood.",2022-08-02 22:35:20.787644,1554186344120799232,2022-08-01 19:24:34+00:00,2,0,11,2,,,GordieLogan,1182,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR pacifica housing OR sooke homelessness coalition OR the mustard seed OR victoria brain injury society OR victoria women in need OR lived experience OR safe supply OR frontline OR temporary shelter OR camper OR unhoused OR narcotics OR social structure) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
U should b 1930s maxxing. U should b reading the Group. U should b watching Sidney Lumet the Group. U should b fitted for your diaphragm to sleep w mid alcoholic painter bpd dad experimented on by Dr husband campaign for FDR then defenestrated til icy Candace Bergen pulls up,2022-08-02 22:35:23.637602,1553791849655066624,2022-07-31 17:16:59+00:00,1,0,1,0,,,simoneweilcore,123,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"#TBT to July 1938 at Henry J. Kaiser’s Grand Coulee Dam worksite in Washington state. Founding physician Dr. Sidney Garfield started an affordable prepaid family health plan for workers, which prevented reoccurring injuries. 🔗https://t.co/KyaMzqbEpQ. https://t.co/yUpPjQk1Bp",2022-08-02 22:35:23.637602,1552700959507324929,2022-07-28 17:02:11+00:00,0,1,7,2,,,kphistory,1420,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"💦There will be a misting tent at Ocean View Park on Mary Anne Crescent from 2 to 5 pm today! Come play in the park and cool off!

Learn about Ocean View Park:
https://t.co/TLW8qeXaGI
Find more Extreme Heat Resources: https://t.co/Gv6zW1vPs5

Stay Cool Colwood! https://t.co/PnvSYvaXsm",2022-08-02 22:35:23.637602,1552385162603667456,2022-07-27 20:07:19+00:00,0,0,8,4,,,cityofcolwood,3407,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aceh OR city of langford OR greater victoria housing society OR peers victoria resources society OR substance uvic OR the victoria foundation OR victoria chamber OR workbc OR people with lived experience OR service provider OR front line OR poverty OR tent OR affordable OR alcoholic OR social problem) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Anyone interested in this bail case might want to run R. Lanier Anderson III through the Google. Yup, Lanier line. Old Georgia money and family. Actually related to Sidney. Handled mostly tax and estate planning work before Carter put him on 5th in '79. 😩 https://t.co/YKFKzyw97a",2022-08-02 22:35:26.582467,1554516424399405056,2022-08-02 17:16:11+00:00,1,0,2,0,,,JuntoGunto,1698,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
5. So them’s the facts as they exist… don’t be too judgemental on poor Sidney… Jesus wouldn’t approve… this ends today’s sermon… go in peace my children. 🙏 https://t.co/oTZMCaIB2u,2022-08-02 22:35:26.582467,1554503111208833024,2022-08-02 16:23:17+00:00,2,0,45,1,,,FMagroin,44,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Which made me think about how damaging Hollywood portrayals of spousal abuse have been.
Take these examples:
1) an abusive husband/father portrayed as a poor, undereducated, unemployed drunk living in a council house/trailer park who impregnates lots of women",2022-08-02 22:35:26.582467,1554413355409997824,2022-08-02 10:26:38+00:00,1,0,3,0,,,AmyEBurdett1,4296,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@TTChelps Hello, 

the 89 bus on weston heading north at 8:50 just passed me at the stop Sidney belsey &amp; weston. I now have to wait again on a holiday for the bus. Why did the bus driver not stop? The bus was not full. This has happened before. I was at the bus shelter",2022-08-02 22:35:26.582467,1554269919914901504,2022-08-02 00:56:40+00:00,1,0,0,0,,,green_peaks,17,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"Soooo S2 is sort of like this poor Elmo…crap clap Sidney no Sidney - they will never know the difference as long as we give them HoTTiEs 
Yeah it should’ve been #SidlotteForever &amp; Crapinton is what we got https://t.co/O6z3d3vUmi",2022-08-02 22:35:26.582467,1554144117717860352,2022-08-01 16:36:46+00:00,5,0,14,9,,,Mimithe20536023,225,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"@RuralRidesOnly @nytimes He just skinfolk. 

Just like broke white Americans are skinfolk to the rich that exploit them too. 

We diverge by race, but not by class. But when have the rich covered poor people’s ass?

https://t.co/9G5mPLOcKD",2022-08-02 22:35:26.582467,1554088579541999617,2022-08-01 12:56:05+00:00,0,0,0,0,"Alsip, IL",9fdc3d1edf51a0a0,SD3rd,164,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
"1x07
—Okay… Jean/Diane is down reaaaally BAD 😳 The poor woman daydreams about kissing Sidney and everything..! Damn.. this fantasy scene was.. 🌹 #gypsy #gypsynetflix https://t.co/lxITOT3ISl",2022-08-02 22:35:26.582467,1553892811120033795,2022-07-31 23:58:10+00:00,1,0,0,0,,,onelazybisexual,253,(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew
