text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
"@Dean_Kastel @yeongno3 North Korea is poor because it is blocked by the United States, not because it is a dictatorship.

Mind you, South Korea's economic boom began under the dictatorship of Park Chung-hee.",2022-08-13 17:24:06.091074,1558399937574207488,2022-08-13 10:27:53+00:00,0,0,0,0,,,EileenM71244655,5,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@rosemeyer1939 Access is poor, you need local knowledge to know which entrances/exits are bike friendly. North of Walton Hall Park you are running the gauntlet of broken glass. It’s only suitable in daylight. Surface is pretty decent in the main, volunteers do a great job cutting back plants.",2022-08-13 17:24:06.091074,1558165214591389696,2022-08-12 18:55:11+00:00,3,0,1,0,,,loucycles,150,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@Doz67622445 @samdavtur @spatialanalysis Perhaps evidence of industrial farming that's lead to poor quality soil in those areas of Britain. National Parks all look green, apart from the South Downs,but some don't count that one as a proper National Park as in the North the South Downs is just what outside looks like. ;)",2022-08-13 17:24:06.091074,1558018506662318080,2022-08-12 09:12:13+00:00,0,0,2,0,,,johnny_boy_uk,23,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
@Gatwick_Airport long stay north car park. Full up areas driving round in circles waiting 20 mins for a bus.  Poor service and poor start!  Very unhelpful staff on phone!,2022-08-13 17:24:06.091074,1557192740785496064,2022-08-10 02:30:55+00:00,0,0,0,0,,,JamesMunden,379,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"this is insane. poor people are banished from over 1/4 of the area between hollywood and echo park. https://t.co/xBjVyFEEh5 When this passes, it will be illegal for victims of our housing crisis to exist in 28% of CD13. Meanwhile, the City only has enough shelter beds for 40% of our unhoused neighbors, and homelessness has DOUBLED since my opponent has been in City Hall. https://t.co/vttlOrsRHM",2022-08-13 17:24:06.169142,1557040499407536128,2022-08-09 16:25:58+00:00,1,0,20,4,,,ShutUpAndrosky,24164,"(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
Thank you @StagsWBball for an awesome elite camp!! So much energy in the gym🔥🔥 Loved the coaching staff and the campus! Can’t wait to go to a game this season‼️ @CTbow @CoachEBrown_ @Coach_EJohnson @BlakeDuDonis @1on1YourShotOn1 #fairfield https://t.co/ueKBeiGb8e,2022-08-13 17:24:08.854377,1558586166701686786,2022-08-13 22:47:53+00:00,1,0,5,1,,,MorganGavazzi,191,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"Yesterday, we finished our last SHINE Training Basketball Camp of the Summer. We ran eight total camps between Mercy HealthPlex Anderson, Mercy HealthPlex Fairfield, TriHealth and Seven Hills.",2022-08-13 17:24:08.854377,1558502990440550403,2022-08-13 17:17:23+00:00,2,0,2,0,,,Alex_Meacham,5659,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
The Fairfield County Workforce Center recently hosted the Totally Tech-Bot Robotics Camp where Licking County students were able to advance their manufacturing skills and learn about a future career in the industry.👨‍🔧 https://t.co/jXL2botAug,2022-08-13 17:24:08.854377,1558450002824921095,2022-08-13 13:46:49+00:00,0,0,0,0,,,OhioOWT,2352,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"📍Fairfield U 🦌

Such a great time at @CTbow Elite camp. Thank you to the entire @StagsWBball coaching staff &amp; team for creating such a high energy &amp; fun environment to learn, work &amp; play the game! 

@BlakeDuDonis @Coach_EJohnson @CoachEBrown_
@HBCoachForbes @HoneyBadgers25 https://t.co/eTznBmFCvN",2022-08-13 17:24:08.854377,1558430012830777344,2022-08-13 12:27:23+00:00,0,0,21,2,,,cadamslopez,126,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
"@AidaGreenbury Just outside Taman Negara Gunung Leuser in North Sumatra (though I used to hang out on the other side of the mountains in the centre of the park - Aceh Tenggara, Gayo Lues and beyond).",2022-08-13 17:24:08.854377,1558416498372198401,2022-08-13 11:33:41+00:00,1,0,1,0,,,silumanmawas,1176,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout
