text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
"@robrezee A binary approach is not the aim here. The aim is to see the issues from multiple perspectives to try to get at the root cause of the crisis and ensure there is accessible, affordable, housing for all.",2022-04-27 11:08:01.622337,1519354490452799488,2022-04-27 16:35:13+00:00,0,0,1,0,,,,,NicoleChaland,1114,(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,individual
"@robrezee A binary approach is not the aim here. The aim is to see the issues from multiple perspectives to try to get at the root cause of the crisis and ensure there is accessible, affordable, housing for all.",2022-04-27 11:08:02.901816,1519354490452799488,2022-04-27 16:35:13+00:00,0,0,1,0,,,,,NicoleChaland,1114,(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,individual
"@MS_athlete Some of it is truly affordable. You need to be willing to wade past the smoke and mirrors.  

Canada has a good def. of affordability that takes into account your concerns. Muni's abandoned it to survive provincial and federal austerity govts. 

Read:
https://t.co/tlkCxv609I",2022-04-27 11:08:02.901816,1518737731060260864,2022-04-25 23:44:26+00:00,0,0,0,0,,,,,Buckleygkml,156,(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,individual
"@robrezee A binary approach is not the aim here. The aim is to see the issues from multiple perspectives to try to get at the root cause of the crisis and ensure there is accessible, affordable, housing for all.",2022-04-27 11:08:04.273903,1519354490452799488,2022-04-27 16:35:13+00:00,0,0,1,0,,,,,NicoleChaland,1114,"(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
@FauxJLowe16 @Adam_Stirling @sarahpottsvic @WeAreNorthPark Much as they tried to figure out use for any of our Parks to tent or not?.,2022-04-27 11:08:05.486751,1516877551825657856,2022-04-20 20:32:45+00:00,0,0,1,0,,,,,Buckleygkml,156,(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,individual
"@DaveThompsonVIC The literature that I've read on filtering says nothing about rent levels going down anywhere, at any time. Some research shows people in low-income neighbourhoods move. Other research shows price increases are tamed.",2022-04-27 11:08:06.718955,1518985026909532163,2022-04-26 16:07:06+00:00,1,0,0,0,,,,,NicoleChaland,1114,(from:nicolechaland OR from:buckleygkml OR from:darylbassett3 OR from:sarahpottsvic OR from:eric_doherty) (the victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,individual
"@NicoleChaland @leilanifarha I think there are two. #Build #Social #Affordable #Rights Based Housing.

#BasicIncomeNow #cndpoli @patriciaflsd",2022-04-27 11:08:07.970795,1519302102735986688,2022-04-27 13:07:03+00:00,0,0,1,0,,,,,self_govern4us,719,(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,individual
"@NicoleChaland @leilanifarha I think there are two. #Build #Social #Affordable #Rights Based Housing.

#BasicIncomeNow #cndpoli @patriciaflsd",2022-04-27 11:08:09.294959,1519302102735986688,2022-04-27 13:07:03+00:00,0,0,1,0,,,,,self_govern4us,719,(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,individual
"@NicoleChaland @leilanifarha I think there are two. #Build #Social #Affordable #Rights Based Housing.

#BasicIncomeNow #cndpoli @patriciaflsd",2022-04-27 11:08:10.535922,1519302102735986688,2022-04-27 13:07:03+00:00,0,0,1,0,,,,,self_govern4us,719,(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,individual
"@NicoleChaland @leilanifarha I think there are two. #Build #Social #Affordable #Rights Based Housing.

#BasicIncomeNow #cndpoli @patriciaflsd",2022-04-27 11:08:11.746083,1519302102735986688,2022-04-27 13:07:03+00:00,0,0,1,0,,,,,self_govern4us,719,"(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
"@BC_Housing #RightsBasedHousing #RightsBasedShelters #HumanRightsViolations #NoCopsOnOutreach #PoliceBrutality No police on sight without a warrant. Protect your clients! You are not doing that now! Police have infiltrated, you gave away 40% of social housing stock to #PovertyIndustry #Shame",2022-04-27 11:08:11.746083,1518073252123316224,2022-04-24 03:44:02+00:00,0,0,0,0,,,,,GraceALore,4068,"(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",individual
Clifford Olson:Petty Thief Turned Informant https://t.co/FjAFIO5ucA via @YouTube,2022-04-27 11:08:12.949441,1517695673705009152,2022-04-23 02:43:40+00:00,0,0,0,0,,,,,self_govern4us,719,(from:self_govern4us OR from:murray_langdon OR from:dave_eby OR from:gracealore OR from:stephen_andrew) (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,individual
