,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo_full_name,geo_id,geo_bbox,tweet_coordinate,username,num_followers,search_keywords,search_neighbourhood
3062,"Construction of a large housing redevelopment in Saanich, B.C., has begun, and it's a project that the B.C. government is calling its ""largest investment"" into affordable housing on Vancouver Island.  https://t.co/pUk0hcnrVC",2022-07-04 13:01:00.394560,1542595115646074880,2022-06-30 19:45:10+00:00,0,0,0,0,,,,,CHEK_News,53108,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,individual
3063,A medical lab in the Comox Valley is the latest facility on Vancouver Island to see its hours of operation reduced.  https://t.co/1rDoHzoYiv,2022-07-04 13:01:01.661816,1543863468603891712,2022-07-04 07:45:09+00:00,0,0,0,0,,,,,CTVNewsVI,75795,"(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",individual
3064,A medical lab in the Comox Valley is the latest facility on Vancouver Island to see its hours of operation reduced.  https://t.co/aBhRdsgdxe,2022-07-04 13:01:01.661816,1543761547310292993,2022-07-04 01:00:09+00:00,3,0,6,3,,,,,Adam_Stirling,10334,"(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",individual
3065,"@inthe250_ @ThomasM41479744 @abley11 @instagram No it isn’t. 

Threaten me with violence and my sympathy ends. 

Two down. 

Hopefully no more. But that’s not up to me.",2022-07-04 13:01:01.661816,1543728037031583744,2022-07-03 22:46:59+00:00,0,0,0,0,,,,,timescolonist,88072,"(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",individual
3066,"The Township of Esquimalt, B.C., is looking to revise its parking bylaw and on-street parking strategy in an effort to modernize the long-term use of public space. https://t.co/N1seDvwvyw",2022-07-04 13:01:02.896394,1544028591142457346,2022-07-04 18:41:17+00:00,0,0,0,0,,,,,CTVNewsVI,75795,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,individual
3067,The District of North Saanich has hired a private security company to ensure pickleball players only use a local court during the prescribed hours.  https://t.co/Mr0QaOSb0N,2022-07-04 13:01:02.896394,1543433120250208258,2022-07-03 03:15:06+00:00,3,2,4,1,,,,,Adam_Stirling,10334,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (aryze developments OR district of saanich OR literacy victoria OR restorative justice victoria OR the downtown victoria business association OR township of esquimalt OR victoria placemaking OR emergency housing OR reaching home OR front line worker OR front line OR thief OR homeless OR addicted OR povertypimps) lang:en -is:retweet,individual
3068,Poll time: The City of Victoria’s new version of Canada Day 🇨🇦 Celebrations in the Ship Point parking lot today are  #yyj,2022-07-04 13:01:04.123084,1542984558127501312,2022-07-01 21:32:40+00:00,17,0,3,0,,,,,Adam_Stirling,10334,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,individual
3069,"Construction of a large housing redevelopment in Saanich, B.C., has begun, and it's a project that the B.C. government is calling its ""largest investment"" into affordable housing on Vancouver Island.  https://t.co/OH5iJlMdlT",2022-07-04 13:01:04.124091,1542912195343929346,2022-07-01 16:45:07+00:00,0,2,7,3,,,,,CTVNewsVI,75795,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,individual
3070,"This Canada Day was extra special for rock legend Randy Bachman, who has been reunited with a beloved guitar that was stolen 45 years ago.  https://t.co/pCNL5J96gv",2022-07-04 13:01:05.384268,1543319882019880966,2022-07-02 19:45:08+00:00,0,0,5,1,,,,,CTVNewsVI,75795,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,individual
3071,"Randy Bachman's prized guitar, stolen 46 years ago, is back in the hands of the Sidney-based musician https://t.co/HTn2QglsPu",2022-07-04 13:01:05.384268,1543217965159546881,2022-07-02 13:00:09+00:00,0,0,3,0,,,,,timescolonist,88072,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,individual
3072,RCMP warn that catalytic converters are being stolen in the Oceanside area https://t.co/E9H06dFctY,2022-07-04 13:01:05.384268,1542560619802439681,2022-06-30 17:28:05+00:00,0,0,2,2,,,,,CHEK_News,53108,(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (beacon community services OR fernwood community association OR mental health society of greater victoria OR safer victoria OR the existence project OR united way southern vancouver island OR victoria real estate board OR subsidized housing OR pit count OR front line OR front line worker OR stolen OR camper OR evicted OR collusion) lang:en -is:retweet,individual
3073,"RCMP clearing new logging protest encampment near Fairy Creek, B.C.

https://t.co/9AMONNQHXr https://t.co/RzMZwzUIhC",2022-07-04 13:01:06.611374,1542239138816081921,2022-06-29 20:10:38+00:00,1,0,14,2,,,,,cfax1070,26457,"(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",individual
3074,"Representatives of three local First Nations who are impacted by the blockade have been attempting to remove the group peacefully since the beginning of June.

https://t.co/2FOFvXJxpX",2022-07-04 13:01:06.611374,1542232027143061506,2022-06-29 19:42:23+00:00,0,0,2,1,,,,,CTVNewsVI,75795,"(from:cfax1070 OR from:chek_news OR from:ctvnewsvi OR from:timescolonist OR from:adam_stirling) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",individual
