,text,scrape_time,tweet_id,created_at,reply_count,quote_count,like_count,retweet_count,geo,geo_full_name,geo_id,username,num_followers,search_keywords,search_neighbourhood
10,"Meanwhile in victoria’s  momo world 🌎 
Homeless diary in Europe!
My friend is sleeping and I don’t have the keys 🔑 waiting  for a miracle and she woke up soon  7 am local time 
Sunday fun day #NFTCommmunity https://t.co/lo2jJyicac",2022-04-12 15:59:46.087846,1513070799359561728,2022-04-10 08:26:04+00:00,1,0,2,0,,,,DaniTrump2020,6635,Victoria Homeless,Victoria
11,@PridgeWessea @Bigteethyouhave @EndZonerBoner @LadyOfTheOcean1 @fukit32 @Flattielover @akuscg @Synyster63 @KsLiberal @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl Actually go see Elon Musks account. He's asking if they should convert the Twitter HQ in SF for thr Homeless.,2022-04-12 15:59:46.087846,1512997204100894721,2022-04-10 03:33:38+00:00,2,0,2,0,,,,CharlesBodi,720,Victoria Homeless,Victoria
12,"Great news

I scored a perfect 10.0 on Twitter today

I defended BIPOC, advocated for the homeless, made our community better, school #brWOKEn idiots, educated the Bicycle Lobby and blocked Together Victoria trolls https://t.co/z0YGPvElDA",2022-04-12 15:59:46.087846,1512994372270243840,2022-04-10 03:22:23+00:00,1,0,9,0,,,,Vickie627,6122,Victoria Homeless,Victoria
13,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Yes it is hateful. They’re being treated very badly in Tijuana. They are homeless in Tijuana,2022-04-12 15:59:46.087846,1512985418043564034,2022-04-10 02:46:48+00:00,1,0,1,0,,,,PridgeWessea,1468,Victoria Homeless,Victoria
14,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia No, it's not hateful, when you see what happens to them here. Compassion isn't taking someone in so they can be mistreated, homeless, and used by people at the day labor corral. It's actually more cruel.",2022-04-12 15:59:46.087846,1512976217716236303,2022-04-10 02:10:14+00:00,2,0,1,1,,,,GFenburn,7,Victoria Homeless,Victoria
15,@EndZonerBoner @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia But you don’t do about the homeless anyway except bitch that they’re there.,2022-04-12 15:59:46.087846,1512970727770636290,2022-04-10 01:48:25+00:00,1,0,0,0,,,,Andrewj60215382,3,Victoria Homeless,Victoria
16,"@Vickie627 @LadyOfTheOcean1 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia Interesting that you say that. 

I'm not right-wing. I just left the left, like many are doing every day lately. 

You're more into the cruelty of being in a strange land and homeless, with no support...in colder temps than they're used to, getting ripped off at day labor. 👍",2022-04-12 15:59:46.087846,1512967458633658372,2022-04-10 01:35:26+00:00,3,0,2,1,,,,niMUSHIN,1858,Victoria Homeless,Victoria
17,"@Flattielover @PridgeWessea @VinceGottalotta @KsLiberal @Synyster63 @LadyOfTheOcean1 @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 I know. If we could I'd be happy to take in everyone who wants to be here. But I don't want homeless, starving, illness being ignored, all the horror we already have. It's like going to dinner. If you plan on 4 people and 40 show up. You're all going to lose.",2022-04-12 15:59:46.087846,1512963148789293061,2022-04-10 01:18:18+00:00,0,0,1,0,,,,Covid_Stinks,161,Victoria Homeless,Victoria
18,"@PridgeWessea @VinceGottalotta @KsLiberal @Synyster63 @Flattielover @LadyOfTheOcean1 @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @Vickie627 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia @Annie20554592 That's the thing. We don't want to outraged. We want our homeless off the streets, every person here properly taken care of, young to old. THEN figure out how many we can handle to properly care for. Is that really a bad thing?",2022-04-12 15:59:46.087846,1512961204813238274,2022-04-10 01:10:35+00:00,1,0,2,0,,,,EpilepsyRUK,14023,Victoria Homeless,Victoria
19,"@LadyOfTheOcean1 @Vickie627 @Flattielover @DaniTrump2020 @Synyster63 @KsLiberal @Bigteethyouhave @Frdmlvr3691 @TommyD07868371 @Saggit95 @jerbear714 @donnnie @ShellyRKirchoff @akuscg @gopisdirty @PalusoSonny @SpongebobBirth @TheDaveWeinbaum @BC_Missy @victoria_roark @NathanBronson7 @Silver_Strike @skeeduu @PridgeWessea @NatForTrump2024 @Jetson77 @PhilipEMSkinne1 @newsjunky2 @Kittie_Svengali @SaveThe_Ukraine @sd_usn @JoeBro20802650 @CunningMarshal @PeterBartholo14 @SuP3rK @NanetteDonnelly @VinceGottalotta @mmEyeNewMe @chriscr66024638 @RushvilleRockit @Sembrouthes @giddy_bunny @RonVarney3 @jeff77531528 @Emma34770971 @ItsBT50 @cbessex @CapJ2021 @gurleysgrl @GinniaDivinia The homeless illegals around here are suffering. It's not like every one of them has a family to stay with here. Then the homeless sweeps happen and their belongings are taken for sanitary reasons, and they're given a ticket that they can't pay.",2022-04-12 15:59:46.087846,1512926357948612610,2022-04-09 22:52:07+00:00,0,1,3,0,,,,ShellyRKirchoff,17943,Victoria Homeless,Victoria
