,g,text,scrape_time,tweet_id,created_at,username,search_keywords,relevant
90,3,"@A_P_Dub_BizComm Even though I lived in Carmel. My sister ( who I had custody of) refused to go to Carmel school and I had to drive her downtown Indy to a CFI school. 

She didn’t wanna be the poor kid…..

I know race plays a lot of things in this world. So does money/class.",2022-04-21 17:09:35.625040,1.5170954110261166e+18,2022-04-21 10:58:26+00:00,Lauren_S_Gibson,downtown (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,
91,3,David Gonzalez is your Healthcare Hero of the Match presented by Dignity Health - LA Galaxy https://t.co/UbVcddLXyc #HealthCare #HealthInsurance #ACA #ObamaCare,2022-05-17 21:45:39.349008,1.5253706579738624e+18,2022-05-14 07:01:19+00:00,uwsmph,"gonzalez (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",
92,3,"100,000+ camping reservations made through BC Parks website ahead of Victoria Day weekend

https://t.co/DyS5HoavbT",2022-05-23 10:16:59.045699,1.5276933368737833e+18,2022-05-20 16:50:49+00:00,YgkGino,Victoria (victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,
93,3,"@cleanstreetstu @Bob__Hudson Didn't stop Croydon Labour spending £250'000'000 on Brick by Brick, £35'000'000 on a now defunct Croydon Park Hotel or £67'000'000 on half a job in Fairfield Halls, Stuart?  By the way, where is the £73'000'000 that's missing from the Housing Revenue Account?  Crocodile tears.",2022-05-09 23:20:14.995847,1.521851981832532e+18,2022-05-04 13:59:21+00:00,AdamNMayer,fairfield (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,
94,3,#Discover How Athletic Therapist Victoria Cleary was Inspired by Her Patient to Change Her Habits—and Heal Herself https://t.co/PX4Z4Uhinx https://t.co/TmyK2W3GWi,2022-06-20 13:34:31.718696,1.537215412785795e+18,2022-06-15 23:28:09+00:00,R4ine_Dr0ps,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",
95,3,"@WaltsWinnebago @SaraParry16 @StuartB66186421 Yes, a potential return to violence in NI is definitely a price worth paying for the sunny brexit uplands, and not at all likely to see the eventual breakup of the UK. Which for someone with Repeal Devolved Parliaments in your title is not something you'd want to see.",2022-05-17 21:45:15.645592,1.5264758405358182e+18,2022-05-17 08:12:55+00:00,PeteinSQ,"uplands (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",
96,3,"Last evening we connected and shared over 150 nacho cheese meals and care packages with our unhoused neighbors in downtown Tacoma. 

If you’d like to tap in to support our ongoing efforts? We need a regular supply of…

📸 https://t.co/BE13bILgjy via https://t.co/AV0mmf6QAh https://t.co/BnVPyPmOBJ",2022-04-27 11:02:33.981571,1.519154798444089e+18,2022-04-27 03:21:43+00:00,MaryCLong,downtown (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,
97,3,@Gay_Alcorn @theage Labor down near 6% in Victoria is nothing to cheer about compared to last Fed election.   Will only be worse with the state election in November with the poor financial state of Andrew's economy.,2022-05-23 10:16:52.150456,1.5280264219141448e+18,2022-05-21 14:54:22+00:00,Michael42598264,Victoria (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,
98,3,"@Adam_Stirling @WeAreNorthPark @sarahpottsvic @HarbourCats @timescolonist Well... people are more important that dogs and there is a housing crisis. Outlaw dogs in Victoria. Turn RAP in multi-storey housing towers. Ta-da: no more profiteers. 
... or ...
Leave things as they are.",2022-04-20 12:29:10.721265,1.51647665096738e+18,2022-04-19 17:59:43+00:00,winpca,Victoria (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,
99,3,"Previous weeks included random assaults, bear spray fights, vandalism and thefts with drugs, alcohol and weapons seized #yyj #bcpoli
https://t.co/yUwctyUozM",2022-05-30 22:50:55.164582,1.5313766546893128e+18,2022-05-30 20:47:00+00:00,tomfletcherbc,YYJ (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,
100,3,"This little critter seemed a bit lost this morning! This was in Fort at Vancouver. Poor guy, probably scared out of it mind. Hope she/he is ok! #yyj. ⁦@CityOfVictoria⁩ https://t.co/N6b9nji7FN",2022-05-30 22:50:49.748375,1.5309644437224202e+18,2022-05-29 17:29:01+00:00,Gail_F_Nestel,YYJ (aids vancouver island OR city of victoria OR habitat for humanity victoria OR quadra village community centre OR tenant action group victoria OR the victoria real estate board OR victoria family court OR encampment OR person experiencing homelessness OR frontline OR frontline worker OR poor OR shelter OR affordable housing OR drugs) lang:en -is:retweet,
101,3,"VicPD returned to the downtown Victoria area for the 3rd weekend and highlighted the ongoing concerns of youth violence, weapons seizures, and drug use.
https://t.co/1R3NB0V746",2022-05-30 22:54:43.412686,1.5314196691935846e+18,2022-05-30 23:37:56+00:00,VictoriaNews,"(from:extremeoutreach OR from:varcsvictoria OR from:habitatvictoria OR from:victoriabuzzes OR from:victorianews) (anawim house OR district of north saanich OR island health OR rentsmart OR the cridge centre for the family OR town of view royal OR victoria native friendship centre OR low-income OR coordinated access ""and"" assessment OR frontline worker OR frontline OR violence OR low-income OR addict OR social housing) lang:en -is:retweet",
102,3,"@vicpdcanada Translation for those who don't speak cop: ""we're going to loiter around downtown profiling youth so oak Bay residents feel comfy""

If you actually want to reduce youth crime invest in after school and community programs that give kids something to do that isn't crime",2022-05-30 22:48:55.819895,1.529953063938642e+18,2022-05-26 22:30:10+00:00,Effynephrin,(oak bay OR rockland OR quadra OR beacon hill park OR harris green OR coast salish OR tseycum) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,
103,3,"@YandR_CBS Yeah right.  We should only be so lucky.  I'll believe it when Ashland is finally gone and other characters finally get some scenes that aren't focused on Victoria 24/7.  I would love to see some romance for Niktor! Vashland are a poor imitation, no matter how hard you try....",2022-04-20 12:29:12.219872,1.5165521935826575e+18,2022-04-19 22:59:53+00:00,azizmbongkit,Victoria (island health OR peers victoria resources society OR the mustard seed OR pacifica housing OR tenant action group victoria OR habitat for humanity victoria OR affordable housing OR person experiencing homelessness OR pit OR frontline worker OR frontline OR frontline worker OR poor OR encampment OR low-income OR unhoused OR drugs OR drugs OR overdose) lang:en -is:retweet,
104,3,Lincoln Park robbery victim remains in critical condition after he was shot three times by duo wanted in 7 other North Side crimes https://t.co/qDS7AS7IaY,2022-05-09 23:20:09.467226,1.5236982562822715e+18,2022-05-09 16:15:47+00:00,dstru312,north park (the aboriginal coalition to end homelessness OR our place society OR aids vancouver island OR the existence project OR salvation army victoria OR red cedar café OR subsidized housing OR community plan to end homelessness OR harm reduction OR front line worker OR front line OR front line worker OR crime OR camp OR homeless OR affordable OR evicted OR drug use OR overdosed) lang:en -is:retweet,
105,3,in my experience their audience was downtown gays who liked a little violence and straight boys i went to high school with who work in design and media and didn't listen very closely but thought some of these people were hot. feel like it doesn't feel sexy to either group now,2022-04-27 11:02:37.431145,1.5190665236499538e+18,2022-04-26 21:30:56+00:00,CPA_Bakes,"downtown (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",
106,3,[NSW] 'Family Caseworker' required by 'Wesley Homelessness Services' in Fairfield.  Assist families experiencing homelessness or homeless-risk in West and South West Sydney. See more and apply at: https://t.co/HAbrO7UkFD #CaseWorker,2022-05-09 23:20:19.215061,1.521806895463514e+18,2022-05-04 11:00:12+00:00,GetHealthcaJobs,"fairfield (aceh OR ops OR avi OR the john howard society of victoria OR substance uvic OR encampment OR peer housing support OR coordinated access ""and"" assessment OR safe supply OR frontline OR frontline worker OR healthcare OR violence OR camper OR homelessness OR affordable housing OR eviction OR social housing OR social structure) lang:en -is:retweet",
107,3,Downtown Spokane Washington across the road from the homeless shelter n then 24 daycares n dallas texas n then 12 jobs then tonsillectomy for no reason at 12 years old 2001 after allergy test results of cats dust n' pollen,2022-04-27 11:02:40.868534,1.519072382891303e+18,2022-04-26 21:54:13+00:00,ExponentWVNews,downtown (the victoria real estate board OR safer victoria OR the downtown victoria business association OR solid outreach OR foundry victoria OR low-income OR lived experience OR point in time OR frontline OR frontline worker OR frontline OR temporary shelter OR theft OR shelter OR camping OR addict OR narcotics OR collude) lang:en -is:retweet,
108,3,"If you're looking for work in Sidney, OH, check out this job: https://t.co/JyOOFyQofa #Healthcare #Healthcarejobs",2022-06-13 13:32:27.838995,1.536293584378311e+18,2022-06-13 10:25:08+00:00,joinTeamWilson,"(colwood OR sidney OR cook street village OR rockheights OR hollywood park OR songhees walkway OR lekwungen OR sc'ianew) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR salvation army victoria OR the homeless ideas podcast OR vancouver island mental health society OR victoria sexual assault centre OR peer housing support OR pit OR frontline worker OR healthcare OR encampment OR camping OR eviction OR overdose) lang:en -is:retweet",
109,3,Condo Smarts: Alteration agreement for solar panels should have conditions - Victoria Times Colonist #housing #realestate  https://t.co/v2H8iYr85L,2022-05-23 10:16:50.627542,1.528021072666194e+18,2022-05-21 14:33:07+00:00,CivilSocietyNZ,Victoria (bc housing OR vreb OR umbrella society OR dvba OR the backpack project OR makola housing society OR emergency housing OR people with lived experience OR pit count OR front line OR front line worker OR front line OR poverty OR stolen OR housing OR tent OR addicted OR alcoholic OR collusion) lang:en -is:retweet,
110,3,"@Roseline5Susan So Victoria ready to fuck now with your fine behind?
🍑🍑🍑🍑👅👅👅",2022-06-13 13:35:06.462752,1.5360769232726712e+18,2022-06-12 20:04:12+00:00,z_groove,Victoria (bc housing OR downtown victoria business association OR makola housing society OR rotary club of victoria OR dvba OR umbrella society OR victoria ready OR affordable housing OR point in time OR frontline OR frontline worker OR theft OR homelessness OR drugs OR collude) lang:en -is:retweet,
111,3,The #saanich housing strategy brings customized solutions for opportunities across the housing spectrum. https://t.co/gjWPxL6xL9,2022-05-30 22:49:09.319270,1.5306348245111726e+18,2022-05-28 19:39:14+00:00,BellevueLeader,(saanich OR uplands OR quadra village OR central park OR point ellice park OR nuu-chah-nulth OR malahat) (avi OR cool aid society OR homelessness services association of bc OR red cedar café OR the backpack project OR vreb OR victoria harbour cats OR low income OR community plan to end homelessness OR front line OR front line worker OR crime OR housing OR substance use OR drug use) lang:en -is:retweet,
112,3,"@CapitalDailyVic Not mentioned, but apparently IMCRT still exists:
https://t.co/RwhdmCna1C
GVPIU Annual Report skimpy on data for IMCRT but its inclusion suggests that it does exist. No graphs in most recent GVPIU Annual Report - this one was from 2018. https://t.co/pCZWN321BL https://t.co/TNXcuThnq6",2022-05-09 23:23:00.721420,1.521918722067247e+18,2022-05-04 18:24:33+00:00,MorenoGiov,Victoria (greater victoria coalition to end homelessness OR cool aid society OR the victoria foundation OR anawim house OR rentsmart OR low income OR peer housing support program OR reaching home OR service provider OR front line OR front line worker OR complex care OR thief OR tent OR camper OR substance use OR evict OR povertypimps OR social problem) lang:en -is:retweet,
