,g,text,scrape_time,tweet_id,created_at,username,search_keywords,relevant
120,4,"“Being poor is only romantic in books.”
— Sidney Sheldon

#LoveForAlbatross♥️🦅",2022-08-15 11:05:55.202694,1557406526289379328,2022-08-10 16:40:25+00:00,DhammadinaM,"(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
121,4,Looking for a safari adventure in the wild? Let's take you for a luxury experience in Amboseli at ELEPHANT GORGE CAMP. https://t.co/4x65Wjq5DR,2022-08-15 11:08:37.187165,1557698312102625281,2022-08-11 11:59:52+00:00,trippygotours,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
122,4,Day 3 in the hospital. Waiting for my surgery today. I really want to go home and gorge on sweets.,2022-08-15 11:08:42.251625,1557563195560189952,2022-08-11 03:02:58+00:00,ndeanbos,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
123,4,"If a  @CSaanich councilor thinks that local government needs to supply housing for doctors, what does that say for the need for housing for those living close to the minimum wage in #yyj? Council candidates please comment.

https://t.co/HlvJx02sr6",2022-08-15 11:12:36.362142,1558463563689168896,2022-08-13 14:40:43+00:00,NicoleChaland,YYJ (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
124,4,"@ConvoN5Bucks @VoteYYJWilliams More purpose built rentals, and a vetting process (eg: how long have you lived in the community vs newcomers to #yyj).

There was none for the temporary housing, but presumably there would or should be one for rentals. 

People living here are being ‘opted out’…",2022-08-15 11:12:25.068608,1557453592155459584,2022-08-10 19:47:27+00:00,ShellyUrquhart,YYJ (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,
125,4,"""Footprints Along the West Highland Way"" by Tommy Ray

The one theme which repeats across generations and the world, ""I wish I traveled more.""

Take a mental trip to Scotland with me an American Nomad armed with a backpack and a tent. Over 125 miles through the Scottish Highlands https://t.co/bSmOhUziPl",2022-08-15 11:09:20.238368,1558926763291398144,2022-08-14 21:21:18+00:00,TRayEntertainm2,"(cook street village OR highlands OR metchosin OR point ellice park OR sc'ianew OR topaz park OR west shore) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
126,4,@victoria_bundy3 Poor position defense drug involve during.,2022-08-15 11:10:34.628492,1559013287127293953,2022-08-15 03:05:07+00:00,MannMan47326197,"Victoria (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
127,4,"Victoria region effectively has a downtown/core area police dept, @vicpdcanada, and several separate police organizations for suburbs. This affects per capita crime rates, demands on policing resources, and City budgets. It's a problem that the province can and should fix.",2022-08-15 11:10:54.428334,1558838547527782402,2022-08-14 15:30:46+00:00,unixyzglobal,Victoria (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
128,4,Some #GoodNews today from former camper and Easter Seals volunteer Jimmy: https://t.co/rFUVFRjSx1,2022-08-15 11:10:38.094092,1557821092013547521,2022-08-11 20:07:45+00:00,EasterSealsBCY,Victoria (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
129,4,"Outerstuff NHL Youth Pittsburgh Penguins Sidney Crosby #87 Premier Home Jersey [2YZEV9U]

https://t.co/yfTxn5VW6M",2022-08-15 11:06:02.951510,1558535087062278144,2022-08-13 19:24:55+00:00,sidneyherald,(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
