,g,text,scrape_time,tweet_id,created_at,username,search_keywords,relevant
30,1,Domestic terrorist was driving a Crown Victoria😳 An old cop car? Or an old dude? Or just a poor guy who drives a beater? https://t.co/SQZvjPueVX latest details https://t.co/kGaSxKYrvz via @TPM,2022-08-15 11:10:34.821312,1557778942240727042,2022-08-11 17:20:16+00:00,selinaEVAo,"Victoria (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
31,1,"We hear from the City of Victoria, the Cuero Chamber of Commerce and we also hear some original music by a local Victoria musician. https://t.co/e8mU6DnNvB",2022-08-15 11:11:00.881045,1558122636693086209,2022-08-12 16:05:59+00:00,HalesMatlida,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
32,1,"i miss old victoria secret robes, like i spend $75 on a sexy satin robe and the one from salvation army actually has pockets and built in tie and WAY softer like wth, &amp; THE HOODIES! make the damn sleeves longer. bring back black and pink aesthetics",2022-08-15 11:10:57.464165,1557758774106066949,2022-08-11 16:00:08+00:00,Weatherman2709,Victoria (beacon community services OR fernwood community association OR mental health society of greater victoria OR salvation army victoria OR the mustard seed OR victoria brain injury society OR affordable housing OR harm reduction OR point in time OR addicted OR drugs OR narcotics OR substance use) lang:en -is:retweet,
33,1,"@LisaMarieBoothe ...believing that it was stolen after all the evidence (or lack there of...still waiting Sidney and Rudy and The Pillow) and multiple lost lawsuits, is an illness.  You need intervention and deprogramming.",2022-08-15 11:06:11.033387,1558065423756697609,2022-08-12 12:18:39+00:00,WakeCountyMugs,(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
34,1,"Flash Flooding Expected in the Timberline, Wupatki Trails, and Fernwood area.

If indoors, shelter in place.  If outdoors, get to high ground and do not enter drainages.",2022-08-15 11:06:25.470945,1558524872585842688,2022-08-13 18:44:20+00:00,CapitalBikeCa,(burnside-gorge OR fernwood OR juan de fuca OR nuu-chah-nulth OR rockheights OR songhees OR t'sou-ke) (aids vancouver island OR city of victoria OR habitat for humanity victoria OR red cedar café OR the backpack project OR township of esquimalt OR victoria placemaking OR emergency housing OR peer housing support program OR temporary housing OR camper OR evict OR shelter OR violence) lang:en -is:retweet,
35,1,"SIGN UP NOW‼️

Our Girls Summer Camp kicks off on 22/08/22 at the Victoria Stadium 🏃‍♀️

Running from 9am-10:30am the Girls Summer Camp is open for all girls aged  4–16 and ends on 25/08/22 ⚽

Click the link &amp; sign up now to make sure you don't miss out👇 
https://t.co/6TOTN1xogD https://t.co/hUSw5JXgfD",2022-08-15 11:10:37.990561,1558006442766045184,2022-08-12 08:24:16+00:00,GibraltarFA,Victoria (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
36,1,"I had to park up on a north London housing estate this morning. I parked opposite Lapwing Court, I drove down Harrier Road, Eagle Road &amp; Falcon Way. I at least found evidence of peregrines in on a nearby green roof but when were the rest last seen around there I wonder?",2022-08-15 11:05:45.028715,1556994644256632834,2022-08-09 13:23:45+00:00,MetroParksNash,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
37,1,Victoria health-care staff who helped save high-risk babies reunite with families https://t.co/sIz0lKWiiv,2022-08-15 11:11:00.880050,1558160683967156225,2022-08-12 18:37:10+00:00,BCHeadlines,"Victoria (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
38,1,Tobias Harris a good dude because if Danny Green showed up to my wedding in this bullshit ima send him home. https://t.co/m5bnOraFuP,2022-08-15 11:08:42.251625,1557466581902299136,2022-08-10 20:39:04+00:00,trickydickie87,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
39,1,"“Being poor is only romantic in books.”
— Sidney Sheldon https://t.co/RWHWQSo7za",2022-08-15 11:05:55.202694,1557103525745803267,2022-08-09 20:36:24+00:00,murad_absar,"(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
