,g,text,scrape_time,tweet_id,created_at,username,search_keywords,relevant
60,2,"“Being poor is only romantic in books.”
— Sidney Sheldon
#tuesdayvibe",2022-08-15 11:05:55.202694,1557036195691040771,2022-08-09 16:08:52+00:00,Lord_Marin69,"(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
61,2,"Crime is down about 10% in Zone 2 this year thanks to the 120 members of APD assigned to the area. That includes two bike units patrolling Buckhead Village and the Sidney Marcus Corridor. 
#NoBuckheadCity #DontFightUnite https://t.co/4i7B8BKvud",2022-08-15 11:06:11.033387,1557714701319938050,2022-08-11 13:05:00+00:00,RolandOConnor,(beacon hill park OR fairfield-gonzales OR irving park OR north saanich OR rock bay OR sidney OR tseycum) (bc housing OR downtown victoria business association OR makola housing society OR safer victoria OR the john howard society of victoria OR vibrant victoria OR workbc OR front line worker OR pit count OR addict OR crime OR housing OR stolen) lang:en -is:retweet,
62,2,"I took Chloe to AT student aide camp with me this summer at Fairfield HS. She attended nutrition, spine boarding, and day in the life of @UAATProgram classes. Thank you @JS_Wallace52 for making a lasting impression. She requested a “Chloe mix” for school snacks #ATTwitter https://t.co/7ffMzDtyDm",2022-08-15 11:05:31.852263,1558147533263732736,2022-08-12 17:44:55+00:00,talklisteninsp,(900-block pandora avenue OR fairfield OR hollywood park OR north park OR quadra village OR selkirk trestle OR tsawout) (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
63,2,"what I have learned about camping at the Gorge is your tent will be next to some young people who are shotgunning hard seltzer and laugh-yelling until 230am, and it will also be next to some children who run by your tent at 730am proclaiming they have water guns",2022-08-15 11:08:54.350778,1558469328907157504,2022-08-13 15:03:37+00:00,rachelwalexande,"(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
64,2,"MATCHDAY 2-Our first home game of the season.
Tickets on sale online until 2pm &gt; https://t.co/DYVIl253Wc https://t.co/CSWNKDIO0b",2022-08-15 11:10:37.899445,1558348041425502208,2022-08-13 07:01:40+00:00,southport_fc,Victoria (aceh OR city of langford OR greater victoria housing society OR quadra village community centre OR tenant action group victoria OR town of view royal OR victoria native friendship centre OR couch surfing OR peer housing support OR subsidized housing OR camp OR evicition OR poverty OR unhoused) lang:en -is:retweet,
65,2,@keithkurson Literally a debunked 30 year old urban legend: https://t.co/RWaLViCG47,2022-08-15 11:07:33.521039,1557758963940298752,2022-08-11 16:00:53+00:00,QMCmetering,"(central park OR gonzales OR langford OR oaklands OR royal athletic park OR sooke OR vic west) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
66,2,"Sharing is Caring!  We care. We share.

Healthcare providers in Rockland County, Let's collaborate!  

I'm Social Determinants  &amp; you're Of Health! 

 It's a match ! #sdoh https://t.co/yUG3vdkwdS",2022-08-15 11:07:03.907746,1557910753889353729,2022-08-12 02:04:02+00:00,centrodeamigos,"(cecelia ravine park OR galloping goose OR kwakwaka’wakw OR oak bay OR rockland OR songhees walkway OR uplands) (boys ""and"" girls club south vanouver island OR foundry victoria OR our place society OR solid outreach OR the victoria foundation OR victoria chamber OR community plan to end homelessness OR health care OR reaching home OR affordable OR drugs OR overdose OR tent) lang:en -is:retweet",
67,2,"@olatowealth1 @Zeuseffort @NellyWhao @TosanHarrimanDr @jidesanwoolu From people too poor to afford living in Victoria island. Please let me hear word. Help yourself first. Feed your family first before doing father xmas for others. Na me dey cry here

https://t.co/PJkTSw7jVk",2022-08-15 11:10:34.731686,1558767661550559232,2022-08-14 10:49:05+00:00,leabedeTIrealr,"Victoria (the aboriginal coalition to end homelessness OR city of colwood OR greater victoria coalition to end homelessness OR peers victoria resources society OR substance uvic OR vreb OR victoria harbour cats OR coordinated access ""and"" assessment OR low income OR service provider OR alcoholic OR evicted OR poor OR thief) lang:en -is:retweet",
68,2,Highlands! Don’t want to go home #highlands #scotland #happydays #heatwave #haar https://t.co/crbZyVKHm5,2022-08-15 11:09:07.553647,1558196034144198657,2022-08-12 20:57:39+00:00,Nerlyne3,(cook street village OR highlands OR metchosin OR point ellice park OR sc'ianew OR topaz park OR west shore) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
69,2,"We're thrilled to welcome @thechicks &amp; #PattyGriffin to the Gorge this Saturday, 8/13! ✨ 

🏕 Camping: Friday, 8/12 at 4:00pm
🅿️ Parking: 3:00pm
🚪 Doors: 6:00pm
 🎉 Show: 7:30pm
 
✨ Part of the Numerica Credit Union Concert Series https://t.co/DJssJ5ow5c",2022-08-15 11:08:42.251625,1557556196898443264,2022-08-11 02:35:09+00:00,moschinoqueen,(colwood OR harris green OR malahat OR pauquachin OR salt spring island OR the gorge OR view royal) (anawim house OR cool aid society OR homelessness services association of bc OR rentsmart OR the cridge centre for the family OR umbrella society OR victoria ready OR encampment OR people with lived experience OR temporary shelter OR camping OR home OR social housing) lang:en -is:retweet,
